Key,Id,Shared Comments,Spanish(es),Spanish(es) Comments,Spanish (Mexico)(es-MX),Spanish (Mexico)(es-MX) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
CASTER_DIALOGUE_PROLOGUE_1,1,,"Buenas noches, gracias a todos por acudir a este concierto benéfico.",,,,"Good evening, thank you all for coming to this charity concert.",,こんばんは、チャリティーコンサートにご来場いただきました皆様、誠にありがとうございました。,
CASTER_DIALOGUE_PROLOGUE_2,2,,Y muchas gracias al donante anónimo que ha donado cincuenta mil euros para la fundación patitas peluditas.,,,,And many thanks to the anonymous donor who has donated fifty thousand euros to the Patitas peluditas foundation.,,そして、パティタス・ペルディタス財団に5万ユーロを寄付してくれた匿名の寄付者に深く感謝します。,
CASTER_DIALOGUE_PROLOGUE_3,3,,Ahora esos gatitos podrán ser mimados hasta la saciedad.,,,,Now those kittens can be spoiled to death.,,今、それらの子猫は甘やかされて死ぬ可能性があります。,
CARLOS_DIALOGUE_PROLOGUE_1,4,,¿De verdad me has hecho venir a un concierto de rock solo para una asociación de gatitos…?,,,,You really made me come to a rock concert just for a kitten association...?,,本当に子猫協会のためだけにロックコンサートに来させたのか…？,
CARLOS_DIALOGUE_PROLOGUE_2,5,,"No pasa na’, es rock del bueno por una vez. Aunque darlo en una discoteca tiene tela...",,,,"It's okay, it's good rock for once. Although giving it in a nightclub has something to do with it...",,大丈夫、一度はいいロックだよ。ナイトクラブで渡すのも関係ありますが…。,
CARLOS_DIALOGUE_PROLOGUE_3,6,,"Oye Carlos, ¿como que el rockero ese del escenario no está mal no? ",,,,"Hey Carlos, that rocker on stage isn't bad, right? ",,おい、カルロス、ステージ上のあのロッカーは悪くないだろ？ ,
CARLOS_DIALOGUE_PROLOGUE_4,7,,¿A este no le pillaron conduciendo bajo los efectos de las drogas hace un año?,,,,Didn't this guy get caught driving under the influence a year ago?,,この人は1年前に飲酒運転で捕まりませんでしたか？,
CARLOS_DIALOGUE_PROLOGUE_5,8,,Ahora que lo dices su cara me suena un poco.,,,,"Now that you say it, his face sounds a little familiar to me.",,そう言われてみると、彼の顔には少し見覚えがあるような気がします。,
CARLOS_DIALOGUE_PROLOGUE_6,9,,¿Este no es el pavo de las noticias que le estafó a Hacienda 200 mil euros?,,,,Isn't this the news guy who defrauded the Treasury of 200 thousand euros?,,これは財務省から20万ユーロをだまし取ったニュースマンではないのか？,
CARLOS_DIALOGUE_PROLOGUE_7,10,,Lo dices como si te extrañara que un artista defraude a Hacienda.,,,,You say it as if you are surprised that an artist defrauds the Treasury.,,あなたは芸術家が財務省をだまし取ったことに驚いているかのようにそれを言います。,
CARLOS_DIALOGUE_PROLOGUE_8,11,,Más me extraña que ahora me monte un paripé de acto benéfico.,,,,I'm even more surprised that now I'm putting on a charity event.,,今ではチャリティーイベントをやっているというからさらに驚きです。,
CARLOS_DIALOGUE_PROLOGUE_9,12,,Será para lavar su imagen.,,,,It will be to wash his image.,,それは彼のイメージを洗い流すことになるだろう。,
CARLOS_DIALOGUE_PROLOGUE_10,13,,Pero solo hemos venido 6 personas.,,,,But only 6 people have come.,,しかし来たのは6人だけ。,
CARLOS_DIALOGUE_PROLOGUE_11,14,,"Normal, a ver quien se va a tragar esto después de que su geta aparezca en Antena 3. ",,,,"Normal, let's see who is going to swallow this after his geta appears on Antena 3. ",,通常、Antena 3 に下駄が登場した後、誰がこれを飲み込むか見てみましょう。 ,
CARLOS_DIALOGUE_PROLOGUE_12,15,,Podría ser peor.,,,,It could be worse.,,さらに悪化する可能性もあります。,
CARLOS_DIALOGUE_PROLOGUE_13,16,,Podría haber aparecido en la isla de las tentaciones.,,,,He could have appeared on Temptation Island.,,彼は誘惑の島に現れるかもしれません。,
CARLOS_DIALOGUE_PROLOGUE_14,17,,Ya que hemos salido antes del curro.,,,,Since we left work early.,,仕事を早く終えたので。,
CARLOS_DIALOGUE_PROLOGUE_15,18,,"Y estoy hasta el moño de que si rellena este documento para el juicio, clasificame las pistas por allá.",,,,"And I'm sick and tired of the fact that if you fill out this document for the trial, classify the clues there for me.",,そして、裁判のためにこの書類に記入したら、そこにある手がかりを私の代わりに分類してくださいという事実にはうんざりしています。,
CARLOS_DIALOGUE_PROLOGUE_16,19,,"Y que estaban los carteles puestos en los cristales de la oficina, pues he dicho why not?",,,,"And the posters were posted on the windows of the office, well I said why not?",,ポスターはオフィスの窓に貼られていました。私は、なぜ貼らないのかと言いました。,
CARLOS_DIALOGUE_PROLOGUE_17,20,,"Nos tomamos un mojito, buena musiquita y a dormir.",,,,"We had a mojito, good music and went to sleep.",,私たちはモヒートを飲み、良い音楽を飲み、眠りに就きました。,
FERNANDO_TIFFANY_DIALOGUE_1_1,21,,¿Has visto Fernancuchi? Ya te dije que el fumeta de mi ex estaría hoy aquí dando el concierto.,,,,Have you seen Fernancuchi? I already told you that my stoner ex would be here giving the concert today.,,フェルナンクチを見たことがありますか？私のストーナーの元が今日ここでコンサートをする予定であることはすでに言いました。,
FERNANDO_TIFFANY_DIALOGUE_1_2,22,,"Más bien dando la nota querrás decir. De cualquier manera gracias por decirmelo, te aseguro que caerá sobre él todo el peso de la hacienda pública.",,,,"More like giving the note you mean. In any case, thank you for telling me, I assure you that the entire weight of the public treasury will fall on him.",,あなたが意味するメモを与えるようなものです。いずれにせよ、教えてくれてありがとう、国庫のすべての重みが彼にのしかかることを保証します。,
FERNANDO_TIFFANY_DIALOGUE_1_3,23,,"Lo que sea por ti Fernancuchi querido, pero quita a este tio de mi vista.",,,,"Anything for you Fernancuchi dear, but get this guy out of my sight.",,フェルナンクチ君のためなら何でもいいけど、この男を私の視界から遠ざけてください。,
FERNANDO_TIFFANY_DIALOGUE_1_4,24,,"Ay si hablando de otra cosa, vi esta mañana en Cartier un anillo precioso de Ópalo con incrustaciones de Swarovski y lo quieeeeeeeero…..",,,,"Oh yes, speaking of something else, I saw this morning at Cartier a beautiful Opal ring with Swarovski inlays and I want it...",,そうそう、別の話ですが、今朝カルティエでスワロフスキーのインレイが付いた美しいオパールのリングを見つけたので、欲しいです...,
FERNANDO_TIFFANY_DIALOGUE_1_5,25,," Vale, te daré lo que quieras. Pero alejate no quiero que nos vean juntos en público. *Beber de la copa*",,,," Okay, I'll give you whatever you want. But stay away, I don't want them to see us together in public. *Drink from the cup*",, わかった、あなたが欲しいものは何でもあげます。でも近づかないでください、私たちが公の場で一緒にいるところを彼らに見られたくないのです。 ＊カップからお飲みください＊,
TRISTAN_AGAN_DIALOGUE_1_1,26,,"¿Qué estamos haciendo aquí, Agan? No entiendo por qué me arrastraste a venir a este concierto…",,,,"What are we doing here, Agan? I don't understand why you dragged me to come to this concert...",,私たちはここで何をしているのですか、アガン？なぜあなたが私をこのコンサートに引きずり込んだのか分かりません...,
